estimator,min_score,mean_score,max_score,std_score,max_depth,n_estimators,learning_rate,C,gamma,kernel,coef0,degree,n_neighbors,weights,alpha,l1_ratio,loss,penalty
SGDClassifier,0.7868852459016393,0.8295475293615059,0.8556430446194226,0.01931916081797408,,,,,,,,,,,0.01,0.1,log,elasticnet
AdaBoostClassifier,0.44787644787644787,0.828976060664027,0.8976377952755906,0.12787989879779088,,16,1.0,,,,,,,,,,,
SGDClassifier,0.7840909090909092,0.8280795081450423,0.8789473684210526,0.026398528477952724,,,,,,,,,,,0.0001,1,log,elasticnet
SGDClassifier,0.7762039660056658,0.8280414886338484,0.8571428571428571,0.02443055344150307,,,,,,,,,,,0.0001,0.95,log,l1
SGDClassifier,0.7816091954022988,0.8276988049506853,0.8571428571428571,0.021070227311424713,,,,,,,,,,,0.0001,1,log,l1
SGDClassifier,0.7745664739884393,0.8269260892910377,0.8848167539267014,0.02707920672071207,,,,,,,,,,,0.0001,0.9,log,l1
SGDClassifier,0.7838616714697406,0.8265443835402744,0.8638743455497382,0.02475915456247644,,,,,,,,,,,0.0001,0.7,log,l1
SGDClassifier,0.7521367521367521,0.8258956745258741,0.8609625668449197,0.030858061083302888,,,,,,,,,,,0.0001,0.5,log,l1
SGDClassifier,0.7784090909090908,0.8236255195211113,0.8480000000000001,0.02060847722755756,,,,,,,,,,,0.0001,0.1,log,l1
SGDClassifier,0.7903225806451613,0.8227485008607702,0.8484848484848485,0.02052109608703433,,,,,,,,,,,0.0001,0.7,hinge,elasticnet
SGDClassifier,0.7572254335260116,0.8219289365521831,0.8616187989556136,0.026437574547068517,,,,,,,,,,,0.0001,0.95,log,elasticnet
SGDClassifier,0.789873417721519,0.8218645415928918,0.8475452196382429,0.017374895361390003,,,,,,,,,,,0.01,0.5,hinge,elasticnet
SGDClassifier,0.7692307692307693,0.8218299707158667,0.8534031413612565,0.02573904069745891,,,,,,,,,,,0.0001,0.99,log,l1
SGDClassifier,0.7851002865329513,0.8216279980213346,0.8526315789473685,0.020413114498216357,,,,,,,,,,,0.0001,0.99,log,elasticnet
SGDClassifier,0.790190735694823,0.8204879185744419,0.8654353562005277,0.023498386884177526,,,,,,,,,,,0.0001,0.7,log,elasticnet
SGDClassifier,0.7989821882951654,0.8164290888433354,0.8450000000000001,0.01572788723515894,,,,,,,,,,,0.01,0.7,hinge,elasticnet
RandomForestClassifier,0.6606606606606606,0.8156231590778058,0.8637532133676092,0.05546118851587133,3,8,,,,,,,,,,,,
SGDClassifier,0.7868020304568528,0.8099621728216075,0.8358974358974358,0.0188894571119828,,,,,,,,,,,0.01,0.95,hinge,elasticnet
SGDClassifier,0.7726161369193153,0.8092401860429097,0.8684863523573201,0.03183319594162451,,,,,,,,,,,0.01,0.9,hinge,l1
SGDClassifier,0.7679558011049724,0.8084770612000401,0.8483290488431877,0.02520223243628422,,,,,,,,,,,0.0001,0.1,log,elasticnet
SGDClassifier,0.780361757105943,0.8070289955676099,0.8290155440414507,0.015706029085883748,,,,,,,,,,,0.01,0.1,hinge,l1
SGDClassifier,0.7808564231738034,0.8048373726510345,0.8279301745635911,0.01546214179914926,,,,,,,,,,,0.01,0.9,hinge,elasticnet
SGDClassifier,0.764857881136951,0.8042742765255424,0.8396946564885496,0.020197383799471013,,,,,,,,,,,0.01,0.99,hinge,elasticnet
SGDClassifier,0.7647058823529411,0.803969576589974,0.8571428571428572,0.030636934774102936,,,,,,,,,,,0.0001,0.5,log,elasticnet
SGDClassifier,0.7735368956743003,0.802749817778016,0.8300000000000001,0.01753608934007562,,,,,,,,,,,0.01,0.95,hinge,l1
SGDClassifier,0.763358778625954,0.8020971525639456,0.8316326530612246,0.021782615651288566,,,,,,,,,,,0.01,0.7,hinge,l1
SGDClassifier,0.767123287671233,0.8020401317173601,0.8407310704960834,0.02065826058442609,,,,,,,,,,,0.01,0.5,log,elasticnet
SGDClassifier,0.7794117647058822,0.801093309606874,0.8246913580246913,0.01579037893673456,,,,,,,,,,,0.01,1,hinge,elasticnet
SGDClassifier,0.768,0.7994981357284184,0.8275862068965518,0.020736024914541115,,,,,,,,,,,0.0001,0.5,hinge,elasticnet
SGDClassifier,0.7731958762886597,0.7982104973169996,0.8320413436692506,0.020175646862409836,,,,,,,,,,,0.01,0.99,hinge,l1
SGDClassifier,0.7777777777777778,0.7967295514794219,0.8206388206388205,0.015077162782117416,,,,,,,,,,,0.01,0.5,hinge,l1
SGDClassifier,0.7118644067796609,0.7961627724349507,0.8311688311688312,0.03756329869502789,,,,,,,,,,,0.0001,0.1,hinge,elasticnet
SGDClassifier,0.7638190954773868,0.7946593282342643,0.8253164556962026,0.020525154212596923,,,,,,,,,,,0.01,1,hinge,l1
SGDClassifier,0.7493112947658402,0.7882531675198765,0.8142493638676845,0.018029383409716944,,,,,,,,,,,0.01,0.7,log,elasticnet
SGDClassifier,0.748663101604278,0.7855915931113931,0.8205128205128206,0.020650987873500264,,,,,,,,,,,0.01,0.99,log,elasticnet
SGDClassifier,0.7319587628865979,0.7834257380378319,0.82010582010582,0.025931940450516274,,,,,,,,,,,0.01,0.9,log,l1
SGDClassifier,0.7493261455525606,0.7826611397082541,0.8253968253968254,0.020660979672249315,,,,,,,,,,,0.01,0.99,log,l1
SGDClassifier,0.7182320441988951,0.7818739307391995,0.8261964735516373,0.03318301658287243,,,,,,,,,,,0.01,0.7,log,l1
kNN,0.7663157894736843,0.7816700952866669,0.8044444444444444,0.012762413279404358,,,,,,,,,20,distance,,,,
SGDClassifier,0.739946380697051,0.7805527037954236,0.806366047745358,0.019331317379759187,,,,,,,,,,,0.01,0.95,log,elasticnet
kNN,0.7635574837310195,0.7799082001669346,0.8044444444444444,0.01372134151147919,,,,,,,,,20,uniform,,,,
SGDClassifier,0.7349081364829396,0.7790813443633435,0.8157894736842106,0.02512219167902309,,,,,,,,,,,0.01,0.5,log,l1
SGDClassifier,0.7239583333333333,0.7771213158064386,0.8198433420365535,0.02781107946399012,,,,,,,,,,,0.01,0.9,log,elasticnet
SGDClassifier,0.7401574803149606,0.7768318889218394,0.8169761273209549,0.02818951085091366,,,,,,,,,,,0.01,1,log,elasticnet
SGDClassifier,0.7219251336898397,0.7745669970772846,0.8,0.021371127019751437,,,,,,,,,,,0.01,0.95,log,l1
SGDClassifier,0.7355163727959698,0.7727912296239567,0.8181818181818183,0.028684647127215294,,,,,,,,,,,0.01,1,log,l1
SGDClassifier,0.736842105263158,0.770969978968124,0.8009950248756219,0.02001348530347286,,,,,,,,,,,0.01,0.1,log,l1
GradientBoostingClassifier,0.632768361581921,0.7587895043423336,0.788659793814433,0.04374502546614172,,32,0.001,,,,,,,,,,,
kNN,0.7413441955193483,0.7531738108716968,0.7675906183368869,0.008389428999456394,,,,,,,,,40,distance,,,,
SVC,0.7173396674584323,0.7496796246418282,0.781038374717833,0.01582573396874346,,,,1,0.0001,rbf,,,,,,,,
GradientBoostingClassifier,0.528813559322034,0.7483940241163448,0.788659793814433,0.07420459507630522,,128,0.001,,,,,,,,,,,
GradientBoostingClassifier,0.632768361581921,0.747763185910839,0.788659793814433,0.044200291866441144,,16,0.001,,,,,,,,,,,
kNN,0.7280334728033473,0.7445516922906846,0.7606837606837606,0.012684666754778268,,,,,,,,,40,uniform,,,,
XGB,0.4788732394366197,0.7433999921278034,0.788659793814433,0.0890166774286974,3,,0.001,,0.1,,,,,,,,,
XGB,0.4788732394366197,0.7433999921278034,0.788659793814433,0.0890166774286974,3,,0.001,,0.01,,,,,,,,,
XGB,0.4788732394366197,0.7433999921278034,0.788659793814433,0.0890166774286974,3,,0.001,,0,,,,,,,,,
XGB,0.4788732394366197,0.7433999921278034,0.788659793814433,0.0890166774286974,3,,0.001,,0.5,,,,,,,,,
XGB,0.4788732394366197,0.7433999921278034,0.788659793814433,0.0890166774286974,3,,0.001,,0.001,,,,,,,,,
AdaBoostClassifier,0.5714285714285715,0.7418006125695116,0.7958656330749355,0.06075716172730362,,32,0.05,,,,,,,,,,,
kNN,0.7145790554414785,0.7277222521861442,0.7396694214876033,0.008066423233509715,,,,,,,,,128,distance,,,,
AdaBoostClassifier,0.5852272727272727,0.7212789770490307,0.7692307692307693,0.04970451896950929,,16,0.05,,,,,,,,,,,
kNN,0.6979591836734694,0.7145912842513089,0.7283950617283951,0.011560624558582295,,,,,,,,,128,uniform,,,,
AdaBoostClassifier,0.6181818181818182,0.7134412028034431,0.748768472906404,0.036683255120692995,,128,0.001,,,,,,,,,,,
AdaBoostClassifier,0.6181818181818182,0.7134412028034431,0.748768472906404,0.036683255120692995,,32,0.001,,,,,,,,,,,
